Label,LC,Useful,why_useful
abbey,a,u,hf
airport_terminal,a,u,b
alley,a,u,b
amphitheater,a,u,hf
amusement_park,a,u,b
aquarium,a&g,u,b
aqueduct,a,u,hf
arch,a,u,b
art_gallery,a,u,bi
art_studio,a,u,bi
assembly_line,a,u,bi
attic,a,u,bi
auditorium,a,u,bi
apartment_building/outdoor,a,u,b
badlands,f&d,u,n
ballroom,a,u,bi
bamboo_forest,c,u,n
banquet_hall,a,u,bi
bar,a,u,bi
baseball_field,a,u,hf
basement,a,u,bi
basilica,a,u,b
bayou,h&f&c&d,u,n
beauty_salon,a,u,bi
bedroom,a,u,bi
boardwalk,a&g,u,hf
boat_deck,a&g,u,hf
bookstore,a,u,bi
botanical_garden,e&c&d,u,hl
bowling_alley,a,u,bi
boxing_ring,a,u,bi
bridge,a&g,u,hf
building_facade,a,u,b
bus_interior,a,n,
butchers_shop,a,u,bi
butte,f&d,u,n
bakery/shop,a,u,bi
cafeteria,a,u,bi
campsite,e&f&a,u,hl
candy_store,a,u,bi
canyon,f ,u,n
castle,a,u,hf
cemetery,a&e,u,hl
chalet,a&f&e,u,hf
classroom,a,u,bi
closet,a,u,bi
clothing_store,a,u,bi
coast,g&h,u,n
cockpit,a,n,
coffee_shop,a,u,bi
conference_center,a,u,bi
conference_room,a,u,bi
construction_site,a,u,b
corn_field,b,u,hl
corridor,a,u,bi
cottage_garden,e&d&a,u,hl
courthouse,a,u,bi
courtyard,a,u,b
creek,g&h,u,n
crevasse,f,u,n
crosswalk,a,u,b
cathedral/outdoor,a,u,hf
church/outdoor,a,u,hf
dam,g&h,u,hf
dining_room,a,u,bi
dock,g ,u,hf
dorm_room,a,u,bi
driveway,a,u,b
desert/sand,f,u,n
desert/vegetation,f&d&g,u,n
dinette/home,a,u,bi
doorway/outdoor,a,u,b
engine_room,a,m,
excavation,f,u,hl
fairway,e ,u,hl
fire_escape,a,u,b
fire_station,a,u,b
food_court,a,u,bi
forest_path,c,u,n
forest_road,c,u,n
formal_garden,e&d&a,u,hl
fountain,a,u,hf
field/cultivated,b,u,hl
field/wild,e,u,n
galley,a,n,
game_room,a,u,bi
garbage_dump,a,u,hl
gas_station,a,u,b
gift_shop,a,u,bi
golf_course,e&a,u,hl
harbor,g&a,u,hf
herb_garden,e&d&a,u,hl
highway,a,u,hf
home_office,a,u,bi
hospital,a,u,b
hospital_room,a,u,bi
hot_spring,g,u,n
hotel_room,a,u,bi
hotel/outdoor,a,u,b
ice_cream_parlor,a,u,bi
iceberg,g,u,n
igloo,,n,
islet,g,u,n
ice_skating_rink/outdoor,,u,b
inn/outdoor,,u,b
jail_cell,a,u,bi
kasbah,a,u,bi
kindergarden_classroom,a,u,bi
kitchen,a,u,bi
kitchenette,a,u,bi
laundromat,a,u,bi
lighthouse,g,u,hf
living_room,a,u,bi
lobby,a,u,bi
locker_room,a,u,bi
mansion,,u,b
marsh,h&g&e&d&c,u,n
martial_arts_gym,a,u,bi
mausoleum,,u,b
medina,a,u,b
motel,a,u,b
mountain,,u,n
mountain_snowy,,u,n
music_studio,a,u,bi
market/outdoor,,u,hf
monastery/outdoor,,u,hf
museum/indoor,a,u,bi
nursery,a,u,b
ocean,g,u,n
office,a,u,bi
office_building,a,u,b
orchard,b&c,u,hl
pagoda,,u,hf
palace,a,u,hf
pantry,a,u,bi
parking_lot,a,u,b
parlor,a,u,bi
pasture,e,u,hl
patio,a,u,b
pavilion,,u,b
phone_booth,a,u,b
picnic_area,,u,hl
playground,a,u,hl
plaza,a,u,b
pond,g&h,u,n
pulpit,a,u,bi
racecourse,e&a,u,hf
raft,,m,n
railroad_track,,u,hf
rainforest,c,u,n
reception,,n,
residential_neighborhood,a,u,b
restaurant,a,u,bi
restaurant_kitchen,a,u,bi
restaurant_patio,a,u,b
rice_paddy,b,u,hl
river,g,u,n
rock_arch,,u,n
rope_bridge,,u,hf
ruin,,u,hf
runway,a,u,hf
sandbar,g&f,u,n
schoolhouse,,u,b
sea_cliff,g,u,n
shed,,u,hf
shoe_shop,a,u,bi
shopfront,a,u,b
shower,a,u,bi
ski_resort,,u,hl
ski_slope,,u,hl
sky,,n,
skyscraper,a,u,b
slum,a,u,b
snowfield,,u,n
staircase,a,u,b
supermarket,a,u,b
swamp,h&g,u,n
stadium/baseball,a&e,u,hf
stadium/football,a&e,u,hf
stage/indoor,a,u,bi
subway_station/platform,a,u,bi
swimming_pool/outdoor,g,u,hl
television_studio,a,u,bi
topiary_garden,c&d&e,u,hl
tower,,u,hf
train_railway,,u,hf
tree_farm,c,u,hl
trench,,u,hf
temple/east_asia,,u,hf
temple/south_asia,,u,hf
track/outdoor,,u,hf
train_station/platform,a,u,hf
underwater/coral_reef,g,u,n
valley,,u,n
vegetable_garden,b,u,hl
veranda,,u,hf
viaduct,,u,hf
volcano,,u,n
waiting_room,a,u,bi
water_tower,,u,hf
watering_hole,g,u,n
wheat_field,b,u,hl
wind_farm,,u,hf
windmill,,u,hf
yard,,u,b
